ID,Davlat
1,Afg'oniston
2,Albaniya
3,Amerika Qo'shma Shtatlari
4,Andorra
5,Angola
6,Antigua va Barbuda
7,Argentina
8,Armaniston
9,Avstraliya
10,Avstriya
11,Bagamalar
12,Bahrayn
13,Bangladesh
14,Barbados
15,Belgiya
16,Beliz
17,Benin
18,Birlashgan Arab Amirliklari
19,Birma
20,Bolgariya
21,Boliviya
22,Bosniya va Gersegovina
23,Botsvana
24,Braziliya
25,Bruney
26,Buyuk Britaniya
27,Burkina Faso
28,Burundi
29,Butan
30,Daniya
31,Dominika
32,Dominika Respublikasi
33,Efiopiya
34,Ekvador
35,Ekvatorial Gvineya
36,Eritreya
37,Eron
38,Estoniya
39,Eswatini
40,Fiji
41,Filippin
42,Finlyandiya
43,Fransiya
44,Gabon
45,Gaiti
46,Gambiya
47,Gana
48,Germaniya
49,Gonduras
50,Grenada
51,Gretsiya
52,Gruziya
53,Guyana
54,Gvatemala
55,Gvineya
56,Gvineya-Bisau
57,Hindiston
58,Indoneziya
59,Iordaniya
60,Irlandiya
61,Iroq
62,Islandiya
63,Ispaniya
64,Isroil
65,Italiya
66,Janubiy Afrika
67,Janubiy Koreya
68,Janubiy Sudan
69,Jazoir
70,Jibuti
71,Kabo-Verde
72,Kambodja
73,Kamerun
74,Kanada
75,Keniya
76,Kipr
77,Kiribati
78,Kolumbiya
79,Komoros
80,Kongo Demokratik Respublikasi
81,Kongo Respublikasi
82,Kosta Rika
83,Kot-d'Ivuar
84,Kuba
85,Laos
86,Latviya
87,Lesoto
88,Liberiya
89,Litva
90,Livan
91,Liviya
92,Lixtenshteyn
93,Luksemburg
94,Madagaskar
95,Makedoniya
96,Malavi
97,Malayziya
98,Maldiv Respublikasi
99,Mali
100,Malta
101,Markaziy Afrika Respublikasi
102,Marokash
103,Marshall Orollari
104,Mavrikiy
105,Mavritaniya
106,Meksika
107,Mikroneziya
108,Misr
109,Moldova
110,Monako
111,Mongoliya
112,Montenegro
113,Mozambik
114,Namibiya
115,Nauru
116,Nepal
117,Niger
118,Nigeriya
119,Niderlandiya
120,Nikaragua
121,Norvegiya
122,Oman
123,Ozarbayjon
124,Palau
125,Panama
126,Papua-Yangi Gvineya
127,Paragvay
128,Peru
129,Pokiston
130,Polsha
131,Portugaliya
132,Qatar
133,Qirg'iziston
134,Qozog'iston
135,Quvayt
136,Rossiya
137,Ruanda
138,Ruminiya
139,Salvador
140,Samoa
141,San Marino
142,San-Tome va Prinsipi
143,Saudiya Arabistoni
144,Senegal
145,Sent-Kits va Nevis
146,Sent Lusiya
147,Sent Vinsent va Grenadinlar
148,Serbiya
149,Seyshell orollari
150,Shimoliy Koreya
151,Singapur
152,Slovakiya
153,Sloveniya
154,Solomon Orollari
155,Somali
156,Sudan
157,Surinam
158,Suriya
159,Syerra-Leone
160,Tailand
161,Tanzaniya
162,Togo
163,Tojikiston
164,Tonga
165,Trinidad va Tobago
166,Tunis
167,Turkiya
168,Turkmaniston
169,Tuvalu
170,Uganda
171,Ukraina
172,Urugvay
173,Vanuatu
174,Vatikan
175,Venesuela
176,Vengriya
177,Vyetnam
178,Xitoy
179,Xorvatiya
180,Yaman
181,Yamayka
182,Yangi Zelandiya
183,Yaponiya
184,Zambiya
185,Zimbabve
186,O'zbekiston Respublikasi
187,Sharqiy Timor
188,Shri Lanka
189,Shvetsiya
190,Shveytsariya
191,Chad
192,Chexiya
193,Chili
