ID,Tuman,ID (viloyat)
15,Amudaryo tumani,1
16,Beruniy tumani,1
17,Kegayli tumani,1
18,Qonliko'l tumani,1
19,Qorao'zak tumani,1
20,Qo'ng'irot tumani,1
21,Mo'ynoq tumani,1
22,Nukus tumani,1
23,Nukus shahri,1
24,Taxtako'pir tumani,1
25,To'rtko'l tumani,1
26,Xo'jayli tumani,1
27,Chimboy tumani,1
28,Shumanay tumani,1
29,Ellikqal'a tumani,1
30,Andijon shahri,2
31,Andijon tumani,2
32,Asaka tumani,2
33,Baliqchi tumani,2
34,Buloqboshi tumani,2
35,Bo'z tumani,2
36,Jalaquduq tumani,2
37,Izbosgan tumani,2
38,Qorasuv shahri,2
39,Qo'rg'ontepa tumani,2
40,Marhamat tumani,2
41,Oltinko'l tumani,2
42,Paxtaobod tumani,2
43,Ulug'nor tumani,2
44,Xonabod tumani,2
45,Xo'jaobod shahri,2
46,Shaxrixon tumani,2
47,Buxoro shahri,3
48,Buxoro tumani,3
49,Vobkent tumani,3
50,G'ijduvon tumani,3
51,Jondor tumani,3
52,Kogon tumani,3
53,Kogon shahri,3
54,Qorako'l tumani,3
55,Qorovulbozor tumani,3
56,Olot tumani,3
57,Peshku tumani,3
58,Romitan tumani,3
59,Shofirkon tumani,3
60,Arnasoy tumani,4
61,Baxmal tumani,4
62,G'allaorol tumani,4
63,Do'stlik tumani,4
64,Sh.Rashidov tumani,4
65,Jizzax shahri,4
66,Zarbdor tumani,4
67,Zafarobod tumani,4
68,Zomin tumani,4
69,Mirzacho'l tumani,4
70,Paxtakor tumani,4
71,Forish tumani,4
72,Yangiobod tumani,4
73,G'uzor tumani,5
74,Dehqonobod tumani,5
75,Qamashi tumani,5
76,Qarshi tumani,5
77,Qarshi shahri,5
78,Kasbi tumani,5
79,Kitob tumani,5
80,Koson tumani,5
81,Mirishkor tumani,5
82,Muborak tumani,5
83,Nishon tumani,5
84,Chiroqchi tumani,5
85,Shahrisabz tumani,5
86,Yakkabog' tumani,5
87,Zarafshon shahri,6
88,Karmana tumani,6
89,Qiziltepa tumani,6
90,Konimex tumani,6
91,Navbahor tumani,6
92,Navoiy shahri,6
93,Nurota tumani,6
94,Tomdi tumani,6
95,Uchquduq tumani,6
96,Xatirchi tumani,6
97,Kosonsoy tumani,7
98,Mingbuloq tumani,7
99,Namangan tumani,7
100,Namangan shahri,7
101,Norin tumani,7
102,Pop tumani,7
103,To'raqo'rg'on tumani,7
104,Uychi tumani,7
105,Uchqo'rg'on tumani,7
106,Chortoq tumani,7
107,Chust tumani,7
108,Yangiqo'rg'on tumani,7
109,Bulung'ur tumani,8
110,Jomboy tumani,8
111,Ishtixon tumani,8
112,Kattaqo'rg'on tumani,8
113,Kattaqo'rg'on shahri,8
114,Qo'shrabot tumani,8
115,Narpay tumani,8
116,Nurabod tumani,8
117,Oqdaryo tumani,8
118,Payariq tumani,8
119,Pastarg'om tumani,8
120,Paxtachi tumani,8
121,Samarqand tumani,8
122,Samarqand shahri,8
123,Toyloq tumani,8
124,Urgut tumani,8
125,Angor tumani,9
126,Boysun tumani,9
127,Denov tumani,9
128,Jarqo'rg'on tumani,9
129,Qiziriq tumani,9
130,Qo'mqo'rg'on tumani,9
131,Muzrabot tumani,9
132,Oltinsoy tumani,9
133,Sariosiy tumani,9
134,Termiz tumani,9
135,Termiz shahri,9
136,Uzun tumani,9
137,Sherobod tumani,9
138,Sho'rchi tumani,9
139,Boyovut tumani,10
140,Guliston tumani,10
141,Guliston shahri,10
142,Mirzaobod tumani,10
143,Oqoltin tumani,10
144,Sayxunobod tumani,10
145,Sardoba tumani,10
146,Sirdaryo tumani,10
147,Xavos tumani,10
148,Shirin shahri,10
149,Yangier shahri,10
150,Angiren shahri,11
151,Bekabod tumani,11
152,Bekabod shahri,11
153,Bo'ka tumani,11
154,Bo'stonliq tumani,11
155,Zangiota tumani,11
156,Qibray tumani,11
157,Quyichirchiq tumani,11
158,Oqqo'rg'on tumani,11
159,Olmaliq shahri,11
160,Ohangaron tumani,11
161,Parkent tumani,11
162,Piskent tumani,11
163,O'rtachirchiq tumani,11
164,Chinoz tumani,11
165,Chirchiq shahri,11
166,Yuqorichirchiq tumani,11
167,Yangiyo'l tumani,11
168,Beshariq tumani,12
169,Bog'dod tumani,12
170,Buvayda tumani,12
171,Dang'ara tumani,12
172,Yozyovon tumani,12
173,Quva tumani,12
174,Quvasoy shahri,12
175,Qo'qon shahri,12
176,Qo'shtepa tumani,12
177,Marg'ilon shahri,12
178,Oltiariq tumani,12
179,Rishton tumani,12
180,So'x tumani,12
181,Toshloq tumani,12
182,Uchko'prik tumani,12
183,O'zbekiston tumani,12
184,Farg'ona tumani,12
185,Farg'ona shahri,12
186,Furqat tumani,12
187,Bog'ot tumani,13
188,Gurlan tumani,13
189,Qo'shko'pir tumani,13
190,Urganch tumani,13
191,Urganch shahri,13
192,Xiva tumani,13
193,Xazarasp tumani,13
194,Xonqa tumani,13
195,Shavot tumani,13
196,Yangiariq tumani,13
197,Yangibozor tumani,13
198,Bektimer tumani,14
199,M.Ulug'bek tumani,14
200,Mirobod tumani,14
201,Olmazor tumani,14
202,Sergeli tumani,14
203,Uchtepa tumani,14
204,Yashnobod tumani,14
205,Chilonzor tumani,14
206,Shayxontohur tumani,14
207,Yunusobod tumani,14
208,Yakkasaroy tumani,14
209,Taxiatosh shahri,1
210,Asaka shahri,2
211,Bandixon tumani,9
212,Ohangaron shahri,11
213,Yangiyol shahri,11
215,Toshkent tumani,11
